City,Country,Max Temp,Description,Lat,Lng,Hotel Name
Dores Do Indaia,BR,72.19,overcast clouds,-19.4633,-45.6017,Hotel Central Dorense
Waingapu,ID,79.29,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
Mount Gambier,AU,65.23,clear sky,-37.8333,140.7667,The Commodore
Cidreira,BR,70.16,overcast clouds,-30.1811,-50.2056,Hotel Castelo
Palotina,BR,68.74,overcast clouds,-24.2839,-53.84,Hotel Granfino
Pemangkat,ID,76.14,broken clouds,1.1667,108.9667,Hotel Duyung Permai 2
Muros,ES,61.68,light rain,42.7762,-9.0603,Apartment Av. Castelao
Biltine,TD,69.82,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
Sechura,PE,74.25,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
Vila Franca Do Campo,PT,63.19,light rain,37.7167,-25.4333,Pestana Bahia Praia
Florianopolis,BR,69.4,broken clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
Hualmay,PE,70.75,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
Nioro,GM,79.32,overcast clouds,13.35,-15.75,Nematoulie farm
Raymondville,US,63.95,overcast clouds,26.4815,-97.7831,La Quinta Inn & Suites by Wyndham Raymondville
Yorosso,ML,73.62,broken clouds,12.3536,-4.7761,Maison d'arrêt et de correction de Yoro
Pringsewu,ID,72.7,broken clouds,-5.3582,104.9744,Urban Style by Front One
San Felipe,VE,70.14,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
Vallenar,CL,75.72,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
Comodoro Rivadavia,AR,67.86,clear sky,-45.8667,-67.5,Austral Hotel
Waddan,LY,60.46,clear sky,29.1614,16.139,محل الشريف محمد العايب
Coahuayana,MX,79.65,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
Nortelandia,BR,72.84,moderate rain,-14.4547,-56.8028,Pousada e Restaurante Santana
Cervo,ES,63.97,overcast clouds,43.6702,-7.4101,Hotel Spa Galatea
Bandarbeyla,SO,74.16,few clouds,9.4942,50.8122,JABIR HOTEL
Tete,MZ,76.37,overcast clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
Moron,AR,76.89,few clouds,-34.6534,-58.6198,Hotel Morón
Sarh,TD,64.31,clear sky,9.1429,18.3923,Caisse Nationale des Prévoyance Sociale
Atambua,ID,76.59,moderate rain,-9.1061,124.8925,Ros Muskanan
Pipri,IN,63.63,overcast clouds,19.8,75.5333,Shree swami bramhanand uphar gruh
Vung Tau,VN,71.96,few clouds,10.346,107.0843,Seaside Resort
Oviedo,ES,62.96,overcast clouds,43.3603,-5.8448,Hotel Santa Clara
Bilma,NE,69.62,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
Ventersburg,ZA,65.41,clear sky,-28.0856,27.1381,Palms Guesthouse Ventersburg
Yuty,PY,78.85,broken clouds,-26.6,-56.25,MAGRIBE
Touros,BR,78.58,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
Buckeye,US,63.3,broken clouds,33.3703,-112.5838,Buckeye Motor Hotel
Chiredzi,ZW,71.65,overcast clouds,-21.05,31.6667,Clevers Hotel Chiredzi
Soyo,AO,76.96,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
Mareeba,AU,76.48,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
Forquilhinha,BR,64.54,overcast clouds,-28.7475,-49.4722,Oma Zita Hotel
Basoko,CD,69.78,overcast clouds,1.2391,23.616,Jackyna Hotel
Manokwari,ID,78.78,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
Biak,ID,77.23,overcast clouds,-0.9131,122.8766,Penginapan Kim
Puerto Colombia,CO,79.2,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
Nouadhibou,MR,68.29,clear sky,20.931,-17.0347,El Medina
Le Vauclin,MQ,78.85,overcast clouds,14.5452,-60.8388,Hôtel Cap Macabou
Hirara,JP,60.66,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
Mankono,CI,77.79,clear sky,8.0586,-6.1897,Hôtel cotonputeur
Vieux Fort,LC,79.95,few clouds,13.7167,-60.95,Cedar Palm Villa
Mpulungu,ZM,71.37,light rain,-8.7623,31.1141,Chela moche guest house
Camacha,PT,65.62,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
Japura,ID,72.09,light rain,-0.3167,102.35,Rumah mbah Jamah
Rundu,,74.3,broken clouds,-17.9333,19.7667,Millennia Estate
Hobyo,SO,77.72,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
Launceston,AU,66.61,clear sky,-41.45,147.1667,Hotel Grand Chancellor Launceston
Guiberoua,CI,74.59,broken clouds,6.2392,-6.1727,HOTEL LAGOTCHÉ
Ixtapa,MX,76.23,broken clouds,20.7,-105.2,hotel la terminal
The Valley,AI,79.11,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
Saint-Pierre,RE,76.68,broken clouds,-21.3393,55.4781,Alize Plage
Coquimbo,CL,64.13,clear sky,-29.9533,-71.3436,Hotel San Juan
Santa Rosa,PH,79.11,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
Nampula,MZ,76.95,broken clouds,-15.1165,39.2666,Ruby Backpackers
Tautira,PF,78.75,light rain,-17.7333,-149.15,Pension Oaoa
Eldorado,BR,67.12,overcast clouds,-23.7869,-54.2836,Villa Verde Hotel
San Carlos De Bariloche,AR,67.75,broken clouds,-41.1456,-71.3082,Hotel Patagonia
Coro,VE,75.81,few clouds,11.4045,-69.6734,Federal
Bequimao,BR,74.7,broken clouds,-2.4489,-44.7825,Casa Dom Joaquim
Bentiu,SS,77.02,broken clouds,9.2333,29.8333,Mandela hôtel
Mecca,SA,74.21,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
